,5015,15096,25173,35246,45319,55386
688.196,0.151462219,0.260323546,0.163836296,0.046691959,0.08253126,0.26407274
688.391,0.162877298,0.284611725,0.139614091,0.054738813,0.079608025,0.207652924
688.585,0.147683455,0.219956351,0.150833596,0.057190594,0.081277369,0.220355189
688.78,0.149435362,0.213571788,0.196620753,0.046971648,0.08001604,0.214529208
688.975,0.168830613,0.223936834,0.146945554,0.046377974,0.086334034,0.17744503
689.17,0.137887146,0.239698327,0.170927961,0.052232687,0.084179388,0.122915971
689.365,0.151055972,0.292600736,0.143545546,0.0412273,0.08343713,0.170970037
689.559,0.144737914,0.264614797,0.169920533,0.052013097,0.087669126,0.272629304
689.754,0.154657163,0.246985689,0.169276726,0.04478069,0.084997322,0.226473729
689.949,0.143787401,0.248636312,0.13973804,0.044965828,0.085139738,0.247116469
690.143,0.167579627,0.258850566,0.145835237,0.057162322,0.084625002,0.250834654
690.338,0.141157666,0.229144029,0.131690951,0.054598441,0.077547188,0.283658883
690.533,0.152731127,0.28084065,0.168716653,0.047340133,0.082827596,0.29039481
690.727,0.151485221,0.275433488,0.177770216,0.046057784,0.083205115,0.131464305
690.922,0.145168364,0.265244916,0.175989531,0.058633275,0.082679838,0.29721472
691.117,0.15809054,0.219884478,0.148289265,0.051129557,0.079800531,0.215149101
691.311,0.168610254,0.232232486,0.141110782,0.038693329,0.091541506,0.152028354
691.506,0.148806281,0.243699657,0.116994523,0.041108785,0.085831558,0.249768642
691.7,0.148093152,0.20782323,0.145476105,0.050419661,0.083206865,0.240675259
691.895,0.153172329,0.196386071,0.150751917,0.05158092,0.0825145,0.301360097
692.09,0.148542575,0.207495457,0.121492738,0.04497134,0.084805779,0.210591722
692.284,0.154483559,0.187457165,0.130008545,0.05511977,0.082065303,0.187353722
692.479,0.150882702,0.248612132,0.146508804,0.045987303,0.0852443,0.215634049
692.673,0.151948964,0.203403804,0.1527576,0.045327496,0.079994015,0.185039701
692.868,0.145597329,0.288498267,0.139055783,0.049494596,0.085417287,0.27546614
693.062,0.159544438,0.262968602,0.154420908,0.052416986,0.083855492,0.250706541
693.256,0.169790778,0.249304442,0.180284371,0.055999144,0.084056059,0.226138845
693.451,0.170416562,0.224856733,0.154024303,0.054001586,0.083078584,0.128308831
693.645,0.150518125,0.242715646,0.159856184,0.04805449,0.085168143,0.232263316
693.84,0.160554439,0.241562176,0.139054815,0.054890551,0.088468978,0.158071159
694.034,0.155928589,0.208326542,0.168679494,0.042876279,0.084584787,0.151343208
694.229,0.156535286,0.30896155,0.138020265,0.053517713,0.086577822,0.274677762
694.423,0.148713325,0.204321623,0.133160073,0.052123982,0.089646286,0.212766535
694.617,0.172915091,0.187788232,0.156153983,0.046511453,0.086198059,0.269613094
694.812,0.153341273,0.243624236,0.165501052,0.046615456,0.081050816,0.135433808
695.006,0.145824921,0.157570912,0.159050096,0.045652986,0.075552479,0.238299277
695.2,0.154874148,0.21881392,0.168648829,0.043025511,0.08771412,0.182550015
695.395,0.15685061,0.267041469,0.132392711,0.056548229,0.079751827,0.174160967
695.589,0.168087158,0.195438215,0.156700177,0.043180846,0.07786955,0.270604233
695.783,0.156519887,0.236115071,0.110813921,0.043462023,0.087094418,0.319709137
695.977,0.160312396,0.280966163,0.13404123,0.047367987,0.077257306,0.146590657
696.172,0.174364714,0.239678713,0.143433595,0.049973878,0.078190534,0.153787987
696.366,0.15558703,0.233495269,0.156648197,0.057529534,0.076627146,0.278179813
696.56,0.152457026,0.209773497,0.150124151,0.044137099,0.083158641,0.219082796
696.754,0.156147412,0.323276855,0.143925647,0.052163561,0.082050979,0.184342357
696.948,0.15162217,0.262262362,0.158959611,0.052774372,0.088411546,0.195328871
697.142,0.146311604,0.252604657,0.154995556,0.052724428,0.083749996,0.157960774
697.337,0.157909997,0.255276841,0.157907916,0.061017358,0.086101867,0.19159029
697.531,0.147025534,0.199243328,0.13358758,0.03394625,0.090150667,0.302562449
697.725,0.153211258,0.239107954,0.17293362,0.049821323,0.081294603,0.297436321
697.919,0.170190333,0.227295062,0.141940654,0.03959121,0.087119786,0.174568921
698.113,0.160037868,0.256430925,0.185407481,0.050388841,0.081532277,0.256063272
698.307,0.160399812,0.249259685,0.130175103,0.061276373,0.088821538,0.286731167
698.501,0.163967097,0.218072493,0.141749789,0.045021468,0.078188676,0.273721486
698.695,0.148994127,0.292951754,0.145195209,0.047777264,0.085498203,0.160498899
698.889,0.148708917,0.219267788,0.162568993,0.048264002,0.080686842,0.275382781
699.083,0.154086584,0.283787137,0.208522521,0.051651589,0.082301592,0.192588163
699.277,0.151827577,0.217299954,0.13705912,0.0491627,0.088251978,0.148124809
699.471,0.160522462,0.263246064,0.142126638,0.042140363,0.088656724,0.26062061
699.665,0.145834652,0.2458376,0.167714253,0.050725244,0.080900176,0.161836732
