,10.019,38.18,65.97,94.647
499.236,0.284263751,0.826237333,0.120764226,0.001468679
499.444,0.246292395,0.818401996,0.123971176,0.001424114
499.652,0.281328536,0.840573398,0.115697598,0.001326969
499.86,0.257888707,0.868795211,0.123643291,0.00153097
500.067,0.27137337,0.856181702,0.127840624,0.001539757
500.275,0.27627735,0.85703991,0.133811643,0.001474098
500.483,0.238577977,0.82259266,0.124510104,0.001488977
500.69,0.266275854,0.860129162,0.132500117,0.001492201
500.898,0.287791551,0.881438545,0.134015572,0.001524203
501.105,0.268279989,0.905295641,0.138971623,0.001579526
501.313,0.276457043,0.896282384,0.139116561,0.001681007
501.521,0.281427238,0.906062271,0.130579458,0.001618846
501.728,0.296170488,0.923874094,0.139238896,0.001574854
501.936,0.286268318,0.933390697,0.139328714,0.001744808
502.143,0.325950144,0.911670942,0.149272038,0.001548533
502.351,0.302479879,0.938298017,0.133099625,0.001733097
502.558,0.295730525,0.900487123,0.141303458,0.001716389
502.766,0.308777462,0.969713612,0.145526789,0.00170565
502.973,0.307438526,0.98981715,0.147678445,0.001867596
503.181,0.309377626,0.973613518,0.153058708,0.001715757
503.388,0.307385269,0.970648822,0.131711515,0.001758351
503.596,0.299841299,1.000765813,0.152681097,0.001722623
503.803,0.322049289,1.015960467,0.156140532,0.001870293
504.011,0.314460797,1.00214108,0.162298997,0.001749822
504.218,0.347081826,1.003278939,0.1577377,0.001790356
504.425,0.300904467,0.95498801,0.147540466,0.001811526
504.633,0.307223701,1.00099392,0.152214609,0.001834162
504.84,0.317907953,1.06641151,0.166033223,0.002000682
505.048,0.334106288,1.051020334,0.161504258,0.001889752
505.255,0.335612095,1.061208695,0.156348015,0.001932749
505.462,0.345084247,1.029497873,0.159379589,0.001866768
505.67,0.321685968,1.11067993,0.166092706,0.001968562
505.877,0.357643411,1.059883844,0.143777791,0.002056013
506.084,0.348240746,1.098566643,0.171662918,0.001841111
506.292,0.352827937,1.082941793,0.158224002,0.001876635
506.499,0.348681789,1.078892119,0.167148566,0.001925031
506.706,0.366247396,1.168209285,0.16438921,0.002063658
506.913,0.365757015,1.122888539,0.175248971,0.002156776
507.121,0.33039888,1.17128217,0.173091459,0.002016979
507.328,0.357735096,1.136540943,0.169374224,0.002125564
507.535,0.372912975,1.188697073,0.174830982,0.001944397
507.742,0.348602057,1.202146945,0.163074941,0.001977362
507.949,0.383713038,1.176164472,0.176289847,0.002165546
508.157,0.365582008,1.140183352,0.176695727,0.002120072
508.364,0.391212603,1.178652147,0.168928667,0.002184159
508.571,0.379669844,1.220001837,0.183355138,0.002197217
508.778,0.376432713,1.194437209,0.184833169,0.002065493
508.985,0.386579799,1.222746419,0.175716177,0.002270199
509.192,0.401949746,1.241752867,0.173104257,0.002218082
509.399,0.394085085,1.20317039,0.183134165,0.00216656
509.607,0.371903322,1.220762119,0.187292035,0.00217155
509.814,0.398370283,1.226124436,0.177557976,0.002116578
510.021,0.386356486,1.216507308,0.188885124,0.002199421
510.228,0.401534689,1.209334605,0.178782694,0.002223869
510.435,0.393862646,1.23605421,0.190396045,0.002342595
510.642,0.39790122,1.267925948,0.196195767,0.002348293
510.849,0.391883982,1.27611007,0.202858616,0.002397366
511.056,0.39615869,1.283909471,0.201683792,0.00224448
511.263,0.397491905,1.31249355,0.187486237,0.002466621
511.47,0.409813975,1.284584513,0.190787823,0.002266347
511.677,0.414185017,1.321599244,0.192982202,0.002307336
511.884,0.428992234,1.301168101,0.203549844,0.002367142
512.091,0.410170948,1.296925951,0.199047926,0.002497499
512.298,0.431283623,1.327113136,0.207978054,0.002385073
512.505,0.446866778,1.338355984,0.203064398,0.002471328
512.711,0.429156607,1.337537138,0.20538305,0.002576079
512.918,0.421681938,1.357752772,0.200385086,0.002385982
513.125,0.418327067,1.321648,0.207688259,0.002475514
513.332,0.455018498,1.367966853,0.209924594,0.002511451
513.539,0.439551772,1.386761425,0.202558981,0.00247481
513.746,0.429711395,1.405574443,0.202764357,0.002323128
513.953,0.41631245,1.367578111,0.2159122,0.002537136
514.159,0.429581839,1.407655792,0.222322163,0.002514646
514.366,0.466977434,1.479466517,0.209921517,0.002664599
514.573,0.44414872,1.391735152,0.218146665,0.00252898
514.78,0.460540055,1.390474358,0.219009997,0.00245506
514.986,0.475640867,1.453327508,0.207551148,0.00268465
515.193,0.496409926,1.446136951,0.220133075,0.002524182
515.4,0.442065313,1.421773915,0.212391353,0.002600754
515.607,0.448526039,1.430259592,0.22531076,0.002511044
515.813,0.457802936,1.427156168,0.218991709,0.002495905
516.02,0.475004371,1.486128616,0.216312415,0.002634238
516.227,0.462053665,1.452830189,0.219045235,0.002753699
516.433,0.456269007,1.500386967,0.223279376,0.002663092
516.64,0.478671054,1.502633472,0.222806567,0.002669096
516.847,0.492639575,1.529265491,0.219483465,0.002930274
517.053,0.471487565,1.499003406,0.224235333,0.002567875
517.26,0.461041344,1.447357255,0.223883133,0.002821341
517.467,0.486018383,1.533951271,0.230253387,0.002661215
517.673,0.453867144,1.427242833,0.222896409,0.002532656
517.88,0.466845136,1.540793261,0.225760787,0.002641067
518.086,0.474368947,1.519742048,0.223523646,0.002681601
518.293,0.48927397,1.559817418,0.228676209,0.00278105
518.499,0.487217556,1.553488761,0.222580064,0.002721165
518.706,0.511348982,1.572190346,0.240285187,0.002856357
518.912,0.476384484,1.555913605,0.235074634,0.002889386
519.119,0.507783474,1.570233445,0.222210319,0.002851579
519.325,0.480862281,1.573591909,0.22555902,0.00281247
519.532,0.532475912,1.578133583,0.245026929,0.002861651
519.738,0.486744482,1.562210792,0.236012381,0.002887872
519.945,0.480500515,1.573561159,0.237357773,0.002808909
520.151,0.523592784,1.556313607,0.222586845,0.002753631
520.358,0.505832601,1.622538961,0.242203257,0.002832178
520.564,0.490893679,1.652873307,0.240380137,0.002722971
520.771,0.496586783,1.611665399,0.247190247,0.003155351
520.977,0.514893112,1.573088482,0.229286542,0.002895601
