,4021,15960,27816
499.236,0.606444739,1.038856922,2.43983696
499.444,0.637921371,0.987142546,2.587614859
499.652,0.648282513,1.022125533,2.511446036
499.86,0.667635868,0.999410771,2.50637654
500.067,0.667709249,1.119100299,2.630077076
500.275,0.6449308,1.019443314,2.625141754
500.483,0.625241324,1.090989806,2.712321923
500.69,0.632785544,1.157390132,2.591396694
500.898,0.641295457,1.09839306,2.663947836
501.105,0.689315932,1.147193166,2.65451638
501.313,0.640734429,1.163853914,2.580035783
501.521,0.629722217,1.088280688,2.71309472
501.728,0.671607138,1.125369579,2.806550136
501.936,0.646888775,1.042688345,2.777995718
502.143,0.669852714,1.171650029,2.778336907
502.351,0.685020231,1.129924939,2.71266519
502.558,0.704838201,1.132155545,2.810190767
502.766,0.704129659,1.223867366,2.880720733
502.973,0.671225013,1.107410123,2.864641243
503.181,0.681299182,1.124791967,3.014715672
503.388,0.694728078,1.235511405,2.900357456
503.596,0.72707647,1.142076419,3.026213972
503.803,0.738226561,1.240304826,3.1131977
504.011,0.77121189,1.237630227,3.050407337
504.218,0.762579724,1.205576717,2.908046532
504.425,0.7464462,1.277445082,3.057055638
504.633,0.76019879,1.313036905,2.936968894
504.84,0.763298297,1.323037237,3.070621585
505.048,0.721658166,1.215605793,3.154752154
505.255,0.80076801,1.191666385,3.171243636
505.462,0.800739614,1.297409212,3.2728906
505.67,0.812900155,1.316411083,3.183831405
505.877,0.833936027,1.36450457,3.189275871
506.084,0.801721391,1.324032331,3.23100434
506.292,0.810315662,1.38569131,3.227790657
506.499,0.818301149,1.276626882,3.207228211
506.706,0.83550489,1.336978099,3.359943298
506.913,0.834348519,1.380678532,3.317832226
507.121,0.825635912,1.350377667,3.44393795
507.328,0.846387903,1.329138089,3.390283079
507.535,0.847785768,1.402093399,3.48141308
507.742,0.853975485,1.378912492,3.517558489
507.949,0.856722011,1.400457594,3.572886753
508.157,0.863627402,1.46861879,3.495153472
508.364,0.889449654,1.421435057,3.627169273
508.571,0.905519975,1.49829067,3.636137552
508.778,0.855759161,1.348929086,3.557963999
508.985,0.898867292,1.593489966,3.652225264
509.192,0.900255792,1.475729073,3.519102778
509.399,0.909101344,1.489022912,3.585071008
509.607,0.862748422,1.522987782,3.653578007
509.814,0.901815959,1.551340119,3.667802818
510.021,0.891826166,1.5292389,3.725270341
510.228,0.961588873,1.502574414,3.718950831
510.435,0.939415463,1.6425357,3.760149705
510.642,0.925277834,1.465348447,3.630576267
510.849,0.903627298,1.465723355,3.814585296
511.056,0.94848249,1.482246462,3.792778758
511.263,0.991785942,1.54471267,3.876011773
511.47,0.974381837,1.555338548,3.844792589
511.677,0.936288745,1.636210665,3.960704064
511.884,0.946252439,1.66851401,3.923093023
512.091,0.954904055,1.677534879,3.893801978
512.298,0.993065155,1.61485413,3.942564698
512.505,0.969016742,1.577021778,4.051564085
512.711,0.989578771,1.696404255,3.898707837
512.918,1.045989944,1.720554843,4.11222618
513.125,0.994796667,1.620020495,4.074283115
513.332,1.031931181,1.559954534,3.989673228
513.539,1.02228976,1.64567292,4.151658279
513.746,1.023329805,1.65110601,4.206985108
513.953,0.999335002,1.693530831,4.046021309
514.159,1.035584631,1.652672022,4.060991015
514.366,1.030000136,1.667924164,4.088361794
514.573,1.013614689,1.5694105,4.091883363
514.78,1.036577011,1.653800558,4.208832405
514.986,1.009600357,1.650555949,4.131444004
515.193,1.047867237,1.716518262,4.224972682
515.4,1.060489319,1.658267592,4.205946922
515.607,1.066921817,1.728381213,4.371567843
515.813,1.044620472,1.746475699,4.311495105
516.02,1.062730312,1.682654362,4.403972897
516.227,1.052437873,1.748249885,4.373637305
516.433,1.014399067,1.730740967,4.33718395
516.64,1.05488185,1.809870554,4.321157893
