,4017,15890,27655
499.236,0.567774452,0.569983805,0.004282742
499.444,0.560613221,0.581036349,0.004294313
499.652,0.527165932,0.590989996,0.004608777
499.86,0.561338339,0.590995242,0.004535637
500.067,0.557936239,0.586476475,0.004552343
500.275,0.565794291,0.591367604,0.00447133
500.483,0.571846162,0.593337127,0.004628337
500.69,0.565502923,0.625550479,0.004708123
500.898,0.581565648,0.609443881,0.00468369
501.105,0.614053121,0.569534928,0.004664482
501.313,0.60375503,0.587983221,0.004809956
501.521,0.570822473,0.601592228,0.004779283
501.728,0.578670273,0.617163024,0.004844605
501.936,0.605797292,0.619681106,0.005014216
502.143,0.60660349,0.651060825,0.004843301
502.351,0.609316967,0.656798191,0.005007131
502.558,0.634796308,0.662396444,0.004926701
502.766,0.622844616,0.674869438,0.005133031
502.973,0.60009894,0.673318794,0.005087848
503.181,0.628717187,0.688716608,0.005085313
503.388,0.659590159,0.703599171,0.005317887
503.596,0.632806546,0.66587339,0.005069244
503.803,0.671741577,0.658102869,0.005223818
504.011,0.657762612,0.69267431,0.005356206
504.218,0.670117642,0.705499253,0.005397545
504.425,0.680873957,0.724277147,0.005505831
504.633,0.630606583,0.700215454,0.005482523
504.84,0.717441114,0.729939091,0.005473499
505.048,0.699825152,0.709523643,0.005565012
505.255,0.746365473,0.692894727,0.005515431
505.462,0.682850783,0.73412468,0.005742434
505.67,0.746090344,0.712888425,0.005577973
505.877,0.664775069,0.741468605,0.005861933
506.084,0.704242086,0.736828885,0.005748606
506.292,0.761106367,0.709400066,0.005772798
506.499,0.708460963,0.718513561,0.005734135
506.706,0.770996638,0.767828532,0.005962888
506.913,0.752752934,0.746914988,0.005892291
507.121,0.721700192,0.741808359,0.005920551
507.328,0.761774308,0.769135941,0.005914991
507.535,0.799792674,0.807399451,0.006107999
507.742,0.703591594,0.760571478,0.006266789
507.949,0.768652255,0.790263649,0.006247348
508.157,0.764399826,0.784854101,0.005996473
508.364,0.709817952,0.736645932,0.006271243
508.571,0.796211042,0.790873002,0.006322481
508.778,0.734690409,0.795300531,0.006212722
508.985,0.778665727,0.818638664,0.006334913
509.192,0.779786675,0.816666208,0.006400381
509.399,0.73280485,0.857882075,0.006510528
509.607,0.788261989,0.824660961,0.006416017
509.814,0.771796043,0.836459811,0.006462032
510.021,0.79396387,0.805791425,0.006644227
510.228,0.852569637,0.795189314,0.006520993
510.435,0.804971363,0.882566197,0.006735183
510.642,0.843967049,0.86287266,0.006723037
510.849,0.838781116,0.897018457,0.006863953
511.056,0.851760007,0.853559151,0.006837201
511.263,0.859658041,0.868542476,0.006843916
511.47,0.823336166,0.879430531,0.006775619
511.677,0.847858124,0.871321579,0.006872746
511.884,0.888735549,0.874970664,0.006965846
512.091,0.872568654,0.883746162,0.007066012
512.298,0.845522357,0.90864938,0.006949058
512.505,0.877242742,0.9042063,0.006999355
512.711,0.927259589,0.915915479,0.007218495
512.918,0.883760693,0.911454036,0.007120321
513.125,0.852837752,0.913141866,0.007154101
513.332,0.928024124,0.907530062,0.007143679
513.539,0.846518693,0.958813774,0.007235093
513.746,0.927102657,0.904902647,0.007304138
513.953,0.888745013,0.940173223,0.007169276
514.159,0.912650114,0.915812939,0.007346666
514.366,0.887963039,0.917130341,0.00745369
514.573,0.947433762,0.930089681,0.007344996
514.78,0.927169621,0.980082027,0.007380916
514.986,0.926348627,0.970241841,0.007315468
515.193,0.96357804,0.956342947,0.007560698
515.4,0.931008001,0.962100467,0.007473654
515.607,0.982646526,0.991806897,0.007478964
515.813,0.93543127,0.964198774,0.007641177
516.02,0.902046109,0.925357346,0.007488434
516.227,0.935735056,0.950405859,0.007774682
516.433,0.93099879,1.001898195,0.007660976
516.64,0.906243486,0.980379134,0.007621044
516.847,0.978131196,0.968729072,0.007936435
517.053,0.97936089,1.022256402,0.007815158
517.26,0.950184316,1.010371484,0.007753685
517.467,0.970355957,1.000674561,0.007953889
517.673,0.998858603,1.022668232,0.007814357
517.88,1.021205617,1.005243724,0.00781292
518.086,0.944293053,0.99990383,0.007915069
518.293,0.954911579,0.996501247,0.007941062
518.499,0.972325245,1.026264872,0.007959817
518.706,0.953357314,1.047928219,0.008015595
518.912,1.033042614,1.020191742,0.007967014
519.119,0.994193644,1.03925741,0.008250282
519.325,1.013916918,1.044815744,0.008109448
519.532,1.010384744,1.036713863,0.007969905
519.738,0.987152853,1.001332912,0.008192516
519.945,0.963884982,1.024065864,0.00816032
520.151,1.047955758,1.039259852,0.008104909
520.358,1.046658529,1.008963839,0.008167344
520.564,0.987218562,1.049122692,0.008270111
520.771,1.053585336,1.064572679,0.008188052
520.977,1.03449527,1.01727437,0.008413894
521.183,1.040893856,1.072231747,0.008287811
521.39,1.060091232,1.054077455,0.008361843
521.596,1.031954678,1.077690011,0.008387178
521.802,1.022529024,1.112945337,0.008498141
522.009,1.056770788,1.112641737,0.008413497
522.215,1.047282681,1.081632814,0.008371516
522.421,1.041368885,1.104586898,0.008576688
522.628,1.026704277,1.07205462,0.008605979
522.834,1.110352929,1.116214985,0.008694459
523.04,1.039053851,1.074484205,0.008302212
523.246,0.958004274,1.069972913,0.008742781
523.453,1.012878822,1.073010892,0.008601421
523.659,1.044166717,1.105385588,0.008391933
523.865,1.009798672,1.06543415,0.00843554
524.071,1.083312472,1.111814021,0.008432178
524.277,1.086537429,1.109730789,0.00870004
524.484,1.065959288,1.060359817,0.008474087
524.69,1.015012807,1.150160589,0.008630988
524.896,1.042519623,1.076147663,0.008794959
525.102,1.034029863,1.094195642,0.008516007
525.308,1.08350922,1.136277378,0.008589434
525.514,1.142431533,1.095929768,0.00862278
525.72,1.164848508,1.119112941,0.008651398
525.926,1.066346915,1.129750677,0.008624202
526.132,1.057427506,1.0934203,0.008761557
526.338,1.116661195,1.087610097,0.008694157
526.544,1.074267392,1.147517769,0.008642381
526.75,1.085751183,1.145376742,0.008851591
526.957,1.092857363,1.141842191,0.008652516
527.163,1.073817818,1.121863664,0.00885018
527.368,1.065233459,1.096069813,0.008796203
527.574,1.096630212,1.172264909,0.009027703
527.78,1.056391927,1.177205157,0.008809031
527.986,1.117826308,1.181439785,0.008897298
528.192,1.058580938,1.161722817,0.009060066
528.398,1.040499341,1.117089567,0.008902773
528.604,1.06586438,1.144304656,0.008832776
528.81,1.042440135,1.109082106,0.008919668
529.016,1.057419019,1.113187933,0.008907095
529.222,1.095086113,1.157834482,0.008791158
529.428,1.095551705,1.145492024,0.008846849
529.633,1.139196996,1.164591308,0.008857625
529.839,1.041127374,1.158617116,0.009062282
530.045,1.138210295,1.127628375,0.009074911
530.251,1.112873852,1.154980624,0.008805138
530.457,1.115102911,1.19603051,0.008978548
530.663,1.114848116,1.169154078,0.009100646
530.868,1.118348726,1.175150504,0.008883499
531.074,1.092039795,1.2054529,0.008979011
531.28,1.137958054,1.19581314,0.008996643
531.485,1.138503473,1.150020369,0.008896999
531.691,1.095047019,1.163345281,0.009080206
531.897,1.097815003,1.13694421,0.009149093
532.103,1.135230295,1.157361606,0.009044769
532.308,1.116187884,1.157557012,0.00916015
532.514,1.069440705,1.158241149,0.009344611
532.72,1.093320802,1.194156765,0.0090815
532.925,1.096971248,1.164182599,0.009090418
533.131,1.122056329,1.179565444,0.009160245
533.336,1.150421954,1.155072985,0.00913397
533.542,1.201093438,1.198096906,0.009150425
533.748,1.21044047,1.211106078,0.009265345
533.953,1.144486602,1.205054492,0.009150661
534.159,1.193046568,1.21975786,0.009177815
534.364,1.173837904,1.203944892,0.009414768
534.57,1.125274161,1.159057834,0.009180872
534.775,1.119440174,1.256666556,0.00912188
534.981,1.130341494,1.189801131,0.009192477
535.186,1.14818117,1.177673074,0.00936702
535.392,1.172455272,1.200090347,0.009235793
535.597,1.220723015,1.155849013,0.009274513
535.803,1.133869491,1.188675711,0.009195044
536.008,1.180969677,1.166785294,0.009302156
536.214,1.134465884,1.164693109,0.009219063
536.419,1.128308847,1.214371035,0.009436976
536.624,1.145596997,1.210843407,0.009355426
536.83,1.171528273,1.181565321,0.009375665
537.035,1.101007316,1.237225974,0.009258822
537.241,1.189847678,1.232304057,0.009308918
537.446,1.121544671,1.214644941,0.009507135
537.651,1.18239655,1.230688181,0.009380542
537.857,1.117201842,1.18086632,0.009390051
538.062,1.156660226,1.170653476,0.009305854
538.267,1.098497754,1.209783263,0.009500294
538.472,1.181339312,1.187227423,0.00943143
538.678,1.182658828,1.200770654,0.009444485
538.883,1.172908293,1.189313933,0.009661561
539.088,1.166868995,1.200051489,0.009418823
539.293,1.122971118,1.184678341,0.009309294
539.499,1.177683599,1.21082465,0.009478807
539.704,1.15119533,1.200418136,0.009421278
539.909,1.185855697,1.182854629,0.009501338
540.114,1.184296664,1.200972073,0.009464589
540.319,1.124398576,1.172086046,0.009703307
540.525,1.177839726,1.219040419,0.009416182
540.73,1.194721352,1.224278079,0.009501534
540.935,1.195606807,1.269516501,0.009665668
541.14,1.125974503,1.233317674,0.009489111
541.345,1.202131808,1.208385287,0.009870076
541.55,1.189182649,1.253801088,0.00951893
541.755,1.145949188,1.266966847,0.009765141
541.96,1.240393197,1.232800574,0.009543772
542.165,1.105589614,1.225706439,0.009642014
542.37,1.172809505,1.230207165,0.009587297
542.575,1.172785732,1.219049406,0.009716652
542.78,1.165783657,1.25480975,0.009743246
542.985,1.214397731,1.230196962,0.009700702
543.19,1.180454779,1.237083061,0.009815432
543.395,1.176962117,1.248186595,0.00957572
543.6,1.171791438,1.248157535,0.009824023
543.805,1.163581408,1.225554389,0.009630672
544.01,1.154526646,1.258715478,0.009571823
544.215,1.197414332,1.24076863,0.009745392
544.42,1.211266861,1.209957728,0.009560964
544.625,1.151985913,1.263949982,0.009595395
544.83,1.156305513,1.288082554,0.009727093
545.035,1.209156377,1.25623486,0.009667212
545.239,1.199235033,1.21810778,0.009781703
545.444,1.250928516,1.247784045,0.009675485
545.649,1.205864507,1.237855894,0.009841351
545.854,1.256458677,1.264699421,0.009739691
546.059,1.161270239,1.245939284,0.009611051
546.263,1.157104963,1.227094588,0.009856464
546.468,1.196973548,1.254808218,0.009668832
546.673,1.183435813,1.248987993,0.009696404
546.878,1.218959252,1.262139209,0.009800266
547.082,1.194957625,1.237051849,0.009761932
547.287,1.173642375,1.207927362,0.009526078
547.492,1.183143004,1.235811604,0.009794163
547.697,1.233498089,1.260917136,0.009715032
547.901,1.186100576,1.22439985,0.009852918
548.106,1.227128528,1.239270262,0.009617703
548.311,1.175650315,1.263922363,0.010003829
548.515,1.14887387,1.227460011,0.009847658
548.72,1.20505743,1.247071899,0.009601991
548.924,1.144049905,1.23459695,0.009823827
549.129,1.218952509,1.271428104,0.009827465
549.334,1.232294851,1.270406173,0.009783375
549.538,1.113852177,1.255146149,0.009835305
549.743,1.16962628,1.231954956,0.009690458
549.947,1.22145736,1.234097388,0.009601157
550.152,1.21055088,1.235229452,0.009806
550.356,1.19047918,1.252214475,0.009593462
550.561,1.229800134,1.203124841,0.009606205
550.765,1.260468335,1.277435753,0.009658093
550.97,1.133909825,1.198176755,0.009634122
551.174,1.20414165,1.248742717,0.009653586
551.379,1.168123881,1.300199254,0.009677607
551.583,1.207078641,1.258120068,0.009837349
551.788,1.17047858,1.248636332,0.009780468
551.992,1.195712095,1.254161361,0.009684332
552.196,1.183267005,1.245453449,0.009851204
552.401,1.194452159,1.205710684,0.009487288
