,4034,15757,27010
499.236,0.4574823,0.76771934,0.505972636
499.444,0.468368499,0.776468458,0.501766401
499.652,0.417640482,0.780177523,0.522968365
499.86,0.475570667,0.784432368,0.526838464
500.067,0.470408483,0.780758545,0.487852701
500.275,0.507758895,0.78496229,0.503320639
500.483,0.437852145,0.797799663,0.528952027
500.69,0.509658752,0.813195443,0.50742524
500.898,0.515725218,0.828506618,0.608986837
501.105,0.466524765,0.840419206,0.511793051
501.313,0.488208264,0.81415552,0.601335556
501.521,0.493799466,0.830862702,0.537916502
501.728,0.497886795,0.829418153,0.584689747
501.936,0.483500574,0.853916296,0.588973058
502.143,0.548894521,0.852808879,0.586182148
502.351,0.502019865,0.85935217,0.631739356
502.558,0.512149295,0.878223722,0.615800931
502.766,0.496309133,0.871636582,0.609550731
502.973,0.557544218,0.885804587,0.572624653
503.181,0.524339168,0.901609341,0.646694932
503.388,0.566257148,0.885549354,0.562382173
503.596,0.533711677,0.907142264,0.568982137
503.803,0.5555107,0.925882621,0.703215916
504.011,0.557359318,0.938011598,0.645294208
504.218,0.593511979,0.956895049,0.579613757
504.425,0.555489085,0.947832561,0.633788733
504.633,0.559561836,0.944618583,0.652077493
504.84,0.607752653,0.943574141,0.655434348
505.048,0.623777397,0.981336932,0.669138503
505.255,0.588694203,0.973485028,0.643850596
505.462,0.623395183,0.987131918,0.654033069
505.67,0.578871387,0.98498201,0.633475839
505.877,0.609725994,0.987926979,0.654430963
506.084,0.552366015,1.013161408,0.691602207
506.292,0.547082808,1.001970443,0.700460639
506.499,0.590734487,0.996015695,0.699197428
506.706,0.617000899,1.020661846,0.717036927
506.913,0.601731122,1.038900521,0.753987795
507.121,0.6522767,1.053807662,0.676758351
507.328,0.66219453,1.062542609,0.768620224
507.535,0.655650904,1.061430182,0.778698971
507.742,0.675728988,1.06099529,0.703232788
507.949,0.638723266,1.065376262,0.689201706
508.157,0.613046099,1.052191586,0.75897178
508.364,0.672442006,1.057489346,0.728243311
508.571,0.678399258,1.100150724,0.713715793
508.778,0.631043758,1.084071089,0.687571215
508.985,0.66750486,1.094406119,0.740906522
509.192,0.675680142,1.099163634,0.792612466
509.399,0.703144799,1.115640915,0.741368377
509.607,0.693616414,1.126647194,0.757148269
509.814,0.663590832,1.111864084,0.758070582
510.021,0.692440665,1.145730444,0.749682927
510.228,0.676597642,1.140848598,0.736091911
510.435,0.685773456,1.150347502,0.752701235
510.642,0.657493028,1.151621378,0.81651035
510.849,0.661637903,1.153592092,0.758859921
511.056,0.676070751,1.192225668,0.798699648
511.263,0.725803089,1.208750776,0.713017573
511.47,0.664584705,1.182113186,0.769290699
511.677,0.747041839,1.189549069,0.840290616
511.884,0.664492628,1.200214561,0.817564783
512.091,0.704338548,1.18647762,0.800837709
512.298,0.680507791,1.201643555,0.877532578
512.505,0.722269677,1.224066768,0.828414866
512.711,0.677067523,1.227500393,0.812157973
512.918,0.746096742,1.221106954,0.870552343
513.125,0.715993589,1.244179658,0.82126024
513.332,0.726885298,1.270248493,0.78559405
513.539,0.778055918,1.254030927,0.886655146
513.746,0.757133267,1.26520543,0.893669165
513.953,0.69122069,1.251726909,0.877314822
514.159,0.737760815,1.245356141,0.815080858
514.366,0.748853024,1.309646356,0.853768493
514.573,0.765163307,1.292166309,0.88738827
514.78,0.753109181,1.290056484,0.845970094
514.986,0.765054007,1.296335805,0.917432303
515.193,0.731547348,1.300067584,0.862422351
515.4,0.774908163,1.284700494,0.834068466
515.607,0.851052264,1.359714174,0.836137093
515.813,0.783584563,1.317646693,0.892389728
516.02,0.842194953,1.3425897,0.86658261
516.227,0.794842863,1.337022798,0.87227095
516.433,0.767576576,1.330491867,0.923052655
516.64,0.785724724,1.322170002,0.934514226
516.847,0.784478962,1.362636979,0.911092071
517.053,0.798952458,1.354234814,0.952531363
517.26,0.764499307,1.350715628,0.888635944
517.467,0.850706079,1.387826678,0.899835377
517.673,0.777159537,1.35389761,0.949544663
517.88,0.82897152,1.378515512,0.901552321
518.086,0.764706522,1.347255366,0.912503365
518.293,0.80202571,1.3628742,0.910995107
518.499,0.821425733,1.377073494,0.923275615
518.706,0.810471063,1.403931527,0.912753868
518.912,0.879540881,1.394683105,0.967699598
519.119,0.800507182,1.389712218,0.890699897
519.325,0.815512266,1.403442545,0.942997029
519.532,0.841338682,1.409279654,0.963495034
519.738,0.881657969,1.407844306,0.933907045
519.945,0.809580716,1.404331705,0.924601244
520.151,0.81557594,1.41871498,0.884291618
520.358,0.829861714,1.413707139,0.976551812
520.564,0.862832674,1.417265967,0.960812863
520.771,0.839034276,1.44380897,0.982996786
520.977,0.830542486,1.432891103,0.937674089
521.183,0.86027649,1.443988153,0.973850734
521.39,0.843958908,1.446881265,1.014327321
521.596,0.848624518,1.458087683,0.952396323
521.802,0.831472763,1.463549567,0.980019042
522.009,0.909472282,1.493111438,0.982057795
522.215,0.902969436,1.467573523,0.984283201
522.421,0.863251553,1.46921888,0.978650687
522.628,0.849597689,1.488859037,0.993277003
522.834,0.889119227,1.495838447,0.991525711
523.04,0.854504425,1.465881214,1.023918753
523.246,0.90102159,1.483546273,0.990343163
523.453,0.903113642,1.474906626,1.029803623
523.659,0.872953296,1.47606028,0.984130751
523.865,0.862234031,1.488134004,1.010404906
524.071,0.877398431,1.497914215,0.966901788
524.277,0.872955363,1.490064451,0.970554028
524.484,0.799404333,1.487222192,1.054873516
524.69,0.860436736,1.481981193,1.025399557
524.896,0.86820154,1.505733144,1.058307418
525.102,0.859711018,1.513459474,0.976640113
525.308,0.883348592,1.530713881,1.002322315
525.514,0.89208307,1.512192672,0.956935897
525.72,0.898807048,1.511768565,1.023095504
525.926,0.845054247,1.512918526,1.008173583
526.132,0.941688739,1.540346773,1.009230779
526.338,0.902896734,1.549916809,1.06071151
526.544,0.910704463,1.51845603,1.026579796
526.75,0.886179777,1.540134459,1.006111272
526.957,0.856914892,1.524494884,1.023249113
527.163,0.938874203,1.516670738,0.987392558
527.368,0.927783523,1.531524686,1.058305875
527.574,0.91711399,1.537751542,1.100962785
527.78,0.893271688,1.524588912,1.055531168
527.986,0.874424728,1.554913792,1.096256513
528.192,0.933115325,1.545358269,1.022999493
528.398,0.980139867,1.572014549,1.009160212
528.604,0.966070952,1.57267887,1.036947184
528.81,0.911681714,1.559709244,1.053068238
529.016,0.906149462,1.539838103,1.06578795
529.222,0.912003923,1.53992645,1.046130755
529.428,0.960792553,1.551765893,1.08233031
529.633,0.916526952,1.564604265,1.062874813
529.839,0.928021981,1.569258865,1.032776042
530.045,0.94962472,1.560405319,1.031106577
530.251,0.897139276,1.56328108,1.021489478
530.457,0.906499874,1.560955145,1.008551913
530.663,0.940521628,1.536666922,0.980195658
530.868,0.895556503,1.567084324,1.079680744
531.074,0.95250923,1.563040345,0.9707976
531.28,0.991296507,1.547827489,1.046036959
531.485,0.890685911,1.55006765,1.030850186
531.691,0.981564051,1.587461781,1.019175309
531.897,0.909683117,1.575420393,1.056110709
532.103,0.936473544,1.592655867,1.009210231
532.308,0.883618234,1.572592869,1.09428759
532.514,0.926739914,1.564493896,1.023039188
532.72,0.939482506,1.564830458,1.081332847
532.925,0.949257695,1.581956694,1.030538321
533.131,0.935715495,1.590895981,1.012047307
533.336,0.940422311,1.590648775,1.015628635
533.542,0.89325522,1.580308282,1.111072727
533.748,0.929007135,1.601713017,1.076572299
533.953,0.989555087,1.608041953,1.109856749
534.159,0.898835203,1.603459878,1.084726432
534.364,0.98406896,1.627893798,1.134109451
534.57,1.024849499,1.592442707,1.061373394
534.775,0.970776075,1.587267664,1.053302282
534.981,0.948479255,1.598531592,1.08154735
535.186,0.997824395,1.625816583,1.08021354
535.392,0.947975087,1.60084805,1.119096427
535.597,0.918607397,1.605456261,1.090500127
535.803,0.986340827,1.602245163,1.085893771
536.008,0.983760514,1.600381855,1.103201095
536.214,0.952388777,1.626557669,1.115825932
536.419,0.910500934,1.60810788,1.107371525
536.624,0.969477159,1.637790401,1.023029643
536.83,1.003988516,1.634139165,1.126265301
537.035,0.984960747,1.637647833,1.077772444
537.241,0.888528794,1.641212313,1.065797149
537.446,1.007315208,1.635784499,1.119273945
537.651,0.956348305,1.652572057,1.124989477
537.857,0.96159521,1.637441799,1.095733568
538.062,1.001533865,1.655686989,1.112953386
538.267,0.998461495,1.636225915,1.140275765
538.472,0.963914614,1.599916698,1.071985534
538.678,1.016802573,1.62799252,1.108949486
538.883,1.007590723,1.632140684,1.102015924
539.088,0.975905432,1.637057208,1.040371941
539.293,0.909490435,1.634219536,1.119649744
539.499,1.001327947,1.625537423,1.107603662
539.704,0.982535914,1.659426175,1.144037965
539.909,0.954362246,1.628639542,1.050457536
540.114,0.998022008,1.677465505,1.142812663
540.319,1.011152717,1.657359382,1.077360187
540.525,0.952859557,1.644319739,1.164369388
540.73,0.956875774,1.646682922,1.207101068
540.935,0.973516326,1.658004165,1.12565437
541.14,1.005547138,1.661454912,1.071896746
541.345,0.946033869,1.67258382,1.198740703
541.55,1.027235847,1.654020811,1.124473068
541.755,0.987757299,1.698799254,1.142321895
541.96,0.947459701,1.673663745,1.07586032
542.165,1.011098946,1.660761745,1.144172739
542.37,0.988986365,1.673139301,1.130905987
542.575,1.059916435,1.656780588,1.132372863
542.78,0.945498266,1.686160578,1.071660745
542.985,0.974056775,1.681321501,1.142881524
543.19,1.015491991,1.67266431,1.108023831
543.395,1.045054506,1.668476472,1.134599374
543.6,0.966992412,1.658477689,1.08776143
543.805,1.01804937,1.670605202,1.095517329
544.01,0.949940735,1.672524193,1.094559387
544.215,0.965408464,1.67969343,1.097892303
544.42,0.942769562,1.684094428,1.078843455
544.625,1.049728692,1.688106225,1.142000832
544.83,1.032705682,1.701780516,1.162606723
545.035,0.986849883,1.678448891,1.105456552
545.239,0.970277802,1.681176666,1.105907503
545.444,0.976430222,1.704579535,1.083887468
545.649,0.94683639,1.682798819,1.109096089
545.854,0.988889913,1.685485624,1.141768228
546.059,1.03874932,1.688011766,1.135273109
546.263,1.031783055,1.697694139,1.103787099
546.468,0.972162623,1.685850289,1.151066357
546.673,1.023098988,1.686518178,1.231493645
546.878,0.970808236,1.684279711,1.120327537
547.082,0.999706275,1.67754196,1.123060169
547.287,1.023660991,1.682688651,1.102644851
547.492,1.017042067,1.689185143,1.088667616
547.697,0.982300151,1.703594159,1.153978489
547.901,1.059849948,1.676046686,1.131264642
548.106,0.950042977,1.656567576,1.12225204
548.311,1.053564148,1.694383536,1.160786475
548.515,0.99037224,1.721189938,1.136182119
548.72,1.037325402,1.680343934,1.210976263
548.924,0.94645718,1.686629253,1.148830223
549.129,1.072532918,1.715554115,1.131207348
549.334,1.000714128,1.703563615,1.118594389
549.538,0.96826543,1.65471321,1.137250042
549.743,1.014986398,1.679309625,1.141597506
549.947,0.979578294,1.709307839,1.145963272
550.152,0.970958957,1.694592202,1.173873076
550.356,1.025147866,1.673180849,1.122420289
550.561,1.007986016,1.685824597,1.125376667
550.765,1.09341562,1.678110121,1.112425776
550.97,1.00829574,1.671936832,1.069435924
551.174,1.031736912,1.68399863,1.054221792
551.379,1.087302883,1.68871992,1.132726555
551.583,0.989793442,1.682272357,1.094049684
551.788,1.031412037,1.69658534,1.177650153
551.992,0.998716377,1.685868301,1.166172463
552.196,0.97674489,1.679153852,1.070944136
552.401,0.98940636,1.671918066,1.153708119
552.605,1.063106326,1.7028797,1.100997036
552.81,0.989369654,1.709727616,1.123159544
553.014,1.028300207,1.690393964,1.04334183
553.218,1.057543286,1.699249198,1.158713616
553.423,1.016995059,1.686653702,1.075791247
553.627,0.999873683,1.695165245,1.115511882
553.831,0.963497901,1.664291536,1.132687328
554.035,0.95789035,1.647426771,1.083839686
554.24,1.051912577,1.679703157,1.077275215
554.444,1.019713206,1.682529046,1.091866915
554.648,0.943571436,1.655705229,1.177511712
554.852,0.957756439,1.685444012,1.080275218
555.057,0.958168953,1.658790681,1.060632516
555.261,1.002847383,1.666582594,1.099595487
555.465,0.979028322,1.68231902,1.150079938
555.669,0.993183142,1.654062353,1.109471903
555.873,0.950221788,1.662728736,1.0571142
556.078,0.996175215,1.661099925,1.140890847
556.282,1.012570849,1.682082173,1.127889816
556.486,0.987218724,1.671678448,1.118714743
556.69,0.988988723,1.654915056,1.1413315
556.894,0.987736608,1.665742956,1.107171174
557.098,0.989892919,1.652267754,1.004430946
557.302,0.918267693,1.66471452,1.069419636
557.506,1.000179119,1.636531665,1.101813123
557.71,0.946134906,1.677736034,1.165839317
557.914,0.909293661,1.635652476,1.077978058
558.118,0.994725023,1.662293617,1.133812452
558.322,1.000051339,1.631403662,1.116473318
558.526,0.984270987,1.639259631,1.131840984
558.73,0.953176345,1.620534271,1.069894936
558.934,1.030066585,1.637261918,1.076113162
559.138,0.945016582,1.615147858,1.112056841
559.342,0.935603758,1.63626318,1.195546915
559.546,1.033701947,1.636522736,1.142901698
559.75,0.940320323,1.636935818,1.142160183
559.954,1.018439435,1.661313412,1.111539359
560.158,0.951750782,1.672718727,1.143896015
560.362,0.943460257,1.624845633,1.113078089
560.565,0.961992837,1.616488544,1.14907971
560.769,0.941805691,1.65103942,1.137752948
560.973,0.915304477,1.628430745,1.074392199
561.177,0.972024702,1.629234313,1.120451501
561.381,0.947338627,1.624260303,1.147820789
561.585,0.984313708,1.622658955,1.114101916
561.788,0.941152737,1.617835827,1.026733669
561.992,0.958798504,1.603931453,1.034558454
562.196,0.978222134,1.618407743,1.099308717
562.4,0.964271419,1.603486275,1.085991868
562.603,0.918954132,1.597874785,1.038728115
562.807,0.962945562,1.601021855,1.130917317
563.011,0.991378693,1.603657183,1.045044498
563.214,0.918867772,1.623838413,1.103263621
563.418,0.949808299,1.609505539,1.082011562
563.622,0.928135605,1.594048982,1.121774811
563.825,0.954794718,1.588971354,0.979963416
564.029,0.958202811,1.606723485,1.051394372
564.233,0.883395562,1.593546367,1.03935593
564.436,0.942332815,1.614515483,1.076193869
564.64,0.958781124,1.587671016,1.071830529
564.843,0.954649255,1.603620388,1.073607353
565.047,0.937868307,1.576235404,1.00816839
565.25,0.924622476,1.577419384,1.017704721
565.454,0.901190506,1.589066453,1.043837805
565.658,0.867595421,1.569980095,1.096528928
565.861,0.977740258,1.575069807,1.03536371
566.065,0.966385566,1.585817597,1.071456437
566.268,0.919705272,1.576631702,1.076985548
566.471,0.936771264,1.554478125,1.056760868
566.675,0.939029394,1.589045177,1.034146555
566.878,0.978933731,1.567626914,1.009629265
567.082,0.881683555,1.545683596,1.06491856
567.285,0.94849864,1.549318493,1.048157726
567.489,0.947900461,1.559758329,1.053644334
