,4.024,16.276,27.939
499.236,0.037440973,0.051458308,0.297464731
499.444,0.027345471,0.044782381,0.310013977
499.652,0.02974868,0.045262419,0.285047008
499.86,0.030510618,0.042078727,0.289193008
500.067,0.030437707,0.039894658,0.282773181
500.275,0.034703346,0.043297458,0.277672742
500.483,0.032899886,0.048701288,0.304953636
500.69,0.026035749,0.053296998,0.309412394
500.898,0.017903327,0.045566194,0.297497758
501.105,0.022292085,0.045471052,0.300057447
501.313,0.032115846,0.0486722,0.295042611
501.521,0.017565326,0.046686501,0.264611655
501.728,0.024179905,0.041294675,0.321711047
501.936,0.021401908,0.04334599,0.292716338
502.143,0.033654862,0.049161941,0.321380746
502.351,0.030563264,0.050168568,0.344538921
502.558,0.035458804,0.047724904,0.271715871
502.766,0.026786441,0.045789323,0.339788056
502.973,0.028519402,0.053239414,0.316368224
503.181,0.03253782,0.046858986,0.336388612
503.388,0.025566586,0.047780286,0.321324178
503.596,0.028085335,0.051396926,0.325605236
503.803,0.020388279,0.046796071,0.325248033
504.011,0.033362184,0.054782365,0.324333225
504.218,0.026576384,0.04953469,0.335728945
504.425,0.034824278,0.053161352,0.344204069
504.633,0.022679696,0.050544543,0.302367013
504.84,0.030062484,0.049061212,0.2794451
505.048,0.025988327,0.053194025,0.351479749
505.255,0.017332044,0.050252812,0.325782839
505.462,0.03298349,0.050186579,0.327451649
505.67,0.029546269,0.049271388,0.351691136
505.877,0.032682613,0.050504128,0.344762301
506.084,0.02470136,0.054747017,0.374897607
506.292,0.026831134,0.047210496,0.343608015
506.499,0.030182534,0.048957321,0.363889777
506.706,0.031779889,0.051704773,0.343785219
506.913,0.036296815,0.044285568,0.330405703
507.121,0.034481441,0.056838077,0.315992089
507.328,0.018293303,0.056308614,0.343505539
507.535,0.035581898,0.053701996,0.367900712
507.742,0.03291074,0.052887802,0.310098927
507.949,0.024841537,0.05213606,0.333806411
508.157,0.020995117,0.052590208,0.32289559
508.364,0.033566605,0.05066732,0.350690079
508.571,0.033890343,0.057734884,0.351188341
508.778,0.031517106,0.057362471,0.328213749
508.985,0.031693162,0.052837401,0.327920904
509.192,0.029723585,0.055359444,0.338985776
509.399,0.039546223,0.056239213,0.38368806
509.607,0.054357463,0.054625336,0.357929869
509.814,0.033682645,0.061602932,0.399228316
510.021,0.043217895,0.050002368,0.364943431
510.228,0.040015916,0.059911418,0.327204762
510.435,0.02721048,0.064824133,0.344741653
510.642,0.033901789,0.056911562,0.385773027
510.849,0.026831573,0.066041615,0.362222443
511.056,0.031624209,0.061550581,0.349672171
511.263,0.032389674,0.056529882,0.409584673
511.47,0.034076005,0.053279195,0.312344325
511.677,0.037145968,0.059308501,0.384942811
511.884,0.024982448,0.055586715,0.38738761
512.091,0.041427659,0.058494422,0.369429633
512.298,0.044742239,0.059729813,0.410489983
512.505,0.047181352,0.058290062,0.375319506
512.711,0.045238839,0.059944074,0.4492261
512.918,0.024758709,0.059079823,0.340904943
513.125,0.039431256,0.052598817,0.410972004
513.332,0.039137213,0.062260041,0.366037303
513.539,0.034750785,0.06106954,0.361153441
513.746,0.0351402,0.066789026,0.407846792
513.953,0.036628472,0.061421556,0.38224161
514.159,0.045628387,0.067091194,0.415192665
514.366,0.045233313,0.058497507,0.381047499
514.573,0.043623678,0.057555077,0.433861883
514.78,0.045070079,0.063136217,0.38246943
514.986,0.043082856,0.061846055,0.384765122
515.193,0.031147191,0.061351671,0.388835497
515.4,0.03556629,0.070414442,0.370981262
515.607,0.049929293,0.063099791,0.431392199
515.813,0.030546884,0.066188478,0.38521082
516.02,0.043130193,0.061777597,0.342115898
516.227,0.049661153,0.07056852,0.412120316
516.433,0.038838234,0.063382046,0.42957411
516.64,0.034328201,0.065567418,0.36247213
516.847,0.035023883,0.062406984,0.4518013
517.053,0.043223005,0.063902811,0.433884709
517.26,0.040470359,0.060828013,0.413044484
517.467,0.034954076,0.069883638,0.424356234
517.673,0.043801919,0.064956554,0.416250939
517.88,0.043953292,0.056810023,0.359239056
518.086,0.046714355,0.059853707,0.419587387
518.293,0.046022066,0.062830599,0.372233381
518.499,0.034864151,0.067916298,0.395235648
518.706,0.040824927,0.067390108,0.429342748
518.912,0.035368356,0.06974035,0.435987058
519.119,0.045381004,0.060994391,0.462143992
519.325,0.042500447,0.065530321,0.420833322
519.532,0.045102633,0.065536147,0.404311981
519.738,0.037332912,0.061567998,0.428096028
519.945,0.052314011,0.069451052,0.424525157
520.151,0.033183438,0.064660384,0.388850342
520.358,0.029707848,0.064287212,0.423173908
520.564,0.033289823,0.060905671,0.407019773
520.771,0.037738979,0.064184941,0.428039873
520.977,0.04374299,0.068997287,0.364098995
521.183,0.034563793,0.06915585,0.406202227
521.39,0.058533067,0.070267835,0.456967463
521.596,0.047049876,0.058388082,0.404098895
521.802,0.040342233,0.062653384,0.369065165
522.009,0.036561619,0.075725125,0.447110572
522.215,0.042690318,0.067018306,0.464908527
522.421,0.045085458,0.07096487,0.385501466
522.628,0.044114704,0.06670441,0.453245262
522.834,0.044071334,0.065467724,0.411714238
523.04,0.027887577,0.066545911,0.461524365
523.246,0.033238112,0.068815408,0.411006329
523.453,0.038714023,0.06491389,0.473046621
523.659,0.038455982,0.065840687,0.402423342
523.865,0.036949831,0.064742818,0.440773575
524.071,0.036381126,0.077318935,0.407114475
524.277,0.038987447,0.076898355,0.445543574
524.484,0.038482106,0.07499244,0.418709365
524.69,0.038868215,0.070096652,0.505776914
524.896,0.029153614,0.071322458,0.412827074
525.102,0.038868743,0.070236242,0.471657252
525.308,0.03076401,0.067146142,0.455213705
525.514,0.04201111,0.073016775,0.429159053
525.72,0.034180706,0.068768868,0.476443564
525.926,0.042164254,0.069001078,0.463582433
526.132,0.032003425,0.073722938,0.454836399
526.338,0.040103129,0.067877631,0.441948073
526.544,0.059374391,0.075440439,0.378817257
526.75,0.037679977,0.06758066,0.461678738
526.957,0.034978013,0.069620976,0.43264037
527.163,0.050517674,0.064971933,0.436442811
527.368,0.050876399,0.0687479,0.403940453
527.574,0.039266913,0.074549266,0.447856906
527.78,0.046444707,0.072705391,0.432432007
527.986,0.042567428,0.061933241,0.405021792
528.192,0.038846716,0.06573112,0.460581372
528.398,0.048273554,0.064185768,0.424071941
528.604,0.035496933,0.069565407,0.449729683
528.81,0.037962192,0.07462815,0.443316238
529.016,0.038066348,0.065340751,0.428043566
529.222,0.034077709,0.06523196,0.385923416
529.428,0.040700183,0.075973021,0.39914713
529.633,0.04435223,0.062563074,0.455514322
529.839,0.038515463,0.070552721,0.432091504
530.045,0.050071975,0.070105218,0.480296424
530.251,0.038216745,0.079934088,0.384473466
530.457,0.057928908,0.074300098,0.418123104
530.663,0.041095956,0.067007353,0.459715292
530.868,0.042196811,0.066616739,0.447467726
531.074,0.044037269,0.062786391,0.463932945
531.28,0.034822136,0.0692039,0.412721801
531.485,0.046701213,0.06712673,0.446611609
531.691,0.039505856,0.06661844,0.412121219
531.897,0.037963697,0.066417987,0.435071062
532.103,0.054238636,0.061590449,0.377689515
532.308,0.046390315,0.071323532,0.467735463
532.514,0.041983401,0.072616769,0.478299368
532.72,0.047853133,0.0727202,0.423867295
532.925,0.054260457,0.069217236,0.437764508
533.131,0.046114515,0.065324852,0.503058394
533.336,0.042514301,0.072890486,0.424190885
533.542,0.046270145,0.070198269,0.513431055
533.748,0.03366455,0.071270159,0.480492865
533.953,0.041362125,0.074110957,0.472580919
534.159,0.041495542,0.069341653,0.435708343
534.364,0.051489934,0.070894936,0.44699845
534.57,0.050990021,0.067507969,0.434963373
534.775,0.051986886,0.064942941,0.437830991
534.981,0.031531193,0.067291869,0.420473264
535.186,0.042970229,0.067555859,0.446942388
535.392,0.032992376,0.07141357,0.471197047
535.597,0.043067182,0.077581428,0.469760036
535.803,0.054195158,0.068565691,0.428087829
536.008,0.043059564,0.07520152,0.441560278
536.214,0.044144427,0.072290777,0.486614322
536.419,0.035735276,0.072640856,0.43901158
536.624,0.033686622,0.068931513,0.424877665
536.83,0.052654292,0.074480128,0.442050577
537.035,0.049973987,0.06654273,0.432268191
537.241,0.035155172,0.073179584,0.506452328
537.446,0.038136333,0.06942173,0.435388342
537.651,0.049869667,0.069507258,0.476410056
537.857,0.046782346,0.064667023,0.463902131
538.062,0.034197014,0.078330328,0.451751888
538.267,0.048450607,0.066186805,0.410626849
538.472,0.048753193,0.076951073,0.457320724
538.678,0.049755441,0.074215663,0.462871895
538.883,0.042057672,0.074377446,0.449493653
539.088,0.052874968,0.072070302,0.441471389
539.293,0.046913178,0.070599225,0.411523318
539.499,0.041432607,0.067159845,0.453948867
