,4.017,15.481,27.462
499.236,0.36425757,0.391253292,0.410854525
499.444,0.370121041,0.42607484,0.44869128
499.652,0.370900046,0.402453742,0.470250847
499.86,0.393121052,0.388183682,0.439313672
500.067,0.417787981,0.38747392,0.464936906
500.275,0.373719364,0.41491845,0.480287706
500.483,0.395150361,0.41586442,0.419291758
500.69,0.398809281,0.406897454,0.48405833
500.898,0.403228561,0.40935564,0.395016345
501.105,0.421059562,0.413835438,0.44274696
501.313,0.40637065,0.393341053,0.449225094
501.521,0.439877004,0.411350293,0.473184968
501.728,0.34238288,0.421041105,0.476750222
501.936,0.366770115,0.409152438,0.480384178
502.143,0.409620896,0.410380265,0.509875734
502.351,0.326282989,0.430635035,0.508833849
502.558,0.424990517,0.425470926,0.458826579
502.766,0.430431155,0.428941624,0.453012382
502.973,0.427318543,0.431724146,0.47895572
503.181,0.369977867,0.41774373,0.521407606
503.388,0.452843287,0.415570241,0.455296389
503.596,0.435942508,0.45226049,0.473505875
503.803,0.435921623,0.430540185,0.476624958
504.011,0.383121885,0.41283072,0.513544891
504.218,0.408584883,0.462673664,0.501145645
504.425,0.402446767,0.442244254,0.548527432
504.633,0.390420306,0.435232679,0.502176537
504.84,0.418058967,0.44504136,0.498052948
505.048,0.456397229,0.46716126,0.553795753
505.255,0.449544896,0.431705312,0.490230029
505.462,0.401604543,0.440579661,0.481065826
505.67,0.420438117,0.455857733,0.482359019
505.877,0.4808312,0.475399471,0.503732366
506.084,0.463725603,0.461088363,0.516352514
506.292,0.484368296,0.465089943,0.532668039
506.499,0.47728319,0.445051903,0.521033308
506.706,0.470964746,0.457839815,0.485907304
506.913,0.477870756,0.457728786,0.492814091
507.121,0.473272811,0.458906615,0.534874808
507.328,0.464049008,0.467860062,0.596079062
507.535,0.478016063,0.45112434,0.519009107
507.742,0.423951089,0.441735076,0.540212672
507.949,0.419893759,0.49593571,0.508305477
508.157,0.442041808,0.467719738,0.522794798
508.364,0.453644285,0.473500052,0.533499062
508.571,0.397652546,0.470440503,0.532517734
508.778,0.467090463,0.463450402,0.51123552
508.985,0.448036971,0.531136836,0.509381344
509.192,0.456983024,0.483742048,0.551587863
509.399,0.467503994,0.485962934,0.508869238
509.607,0.487277588,0.465874921,0.594887457
509.814,0.476603567,0.493832322,0.532813881
510.021,0.471309239,0.49815554,0.535614522
510.228,0.447108039,0.475102473,0.510961835
510.435,0.487554663,0.488486769,0.598523952
510.642,0.451511612,0.527698315,0.533850273
510.849,0.501467394,0.512899525,0.538822157
511.056,0.412247498,0.504300047,0.565837394
511.263,0.514590874,0.49613846,0.542660697
511.47,0.466413124,0.512124355,0.552741995
511.677,0.501331629,0.477518082,0.572627961
511.884,0.413157804,0.531378615,0.554475096
512.091,0.484703128,0.508830122,0.587515729
512.298,0.485304958,0.520913835,0.56508343
512.505,0.450399053,0.510141259,0.556956191
512.711,0.517588984,0.505026471,0.604832414
512.918,0.517472194,0.532238003,0.613223559
513.125,0.461156522,0.524794186,0.583039502
513.332,0.503219524,0.547476689,0.574593347
513.539,0.513964135,0.486560656,0.565111409
513.746,0.509239957,0.514762719,0.538383204
513.953,0.489903749,0.522825671,0.552227975
514.159,0.527336543,0.49562726,0.557170347
514.366,0.523515661,0.518188064,0.629815691
514.573,0.464862635,0.50757659,0.522802738
514.78,0.479326088,0.527478544,0.512525902
514.986,0.444062171,0.520430895,0.577962557
515.193,0.561567358,0.554295001,0.570166979
515.4,0.520520262,0.518967478,0.596952787
515.607,0.526560527,0.5290564,0.612076423
515.813,0.504044266,0.532328969,0.589780394
516.02,0.509791666,0.515513907,0.641118435
516.227,0.479533765,0.548405501,0.566650301
516.433,0.488836892,0.518389163,0.622774744
516.64,0.560787209,0.528299865,0.617017062
516.847,0.453259721,0.564486524,0.602199111
517.053,0.564819631,0.50915797,0.590242365
517.26,0.532315695,0.563423586,0.608412091
517.467,0.554151244,0.499677775,0.587907612
517.673,0.531013842,0.569591446,0.602101919
517.88,0.538819598,0.547976375,0.654681642
518.086,0.509707703,0.561941667,0.660052953
518.293,0.497602696,0.515978665,0.596859499
518.499,0.546770917,0.522911873,0.60091891
518.706,0.523069983,0.557307109,0.603567178
518.912,0.518835037,0.549973928,0.611450514
519.119,0.514994628,0.554604758,0.676219635
519.325,0.532478529,0.552582458,0.591794656
519.532,0.555885933,0.566954805,0.64402486
