,67820
499.236,0.003198929
499.444,0.003307446
499.652,0.003275947
499.86,0.003171002
500.067,0.003165524
500.275,0.003250084
500.483,0.003340787
500.69,0.003409767
500.898,0.003446489
501.105,0.003328463
501.313,0.003251415
501.521,0.003295736
501.728,0.003360938
501.936,0.003254972
502.143,0.003343491
502.351,0.003244916
502.558,0.003435818
502.766,0.003204321
502.973,0.00330253
503.181,0.003397251
503.388,0.003426046
503.596,0.003325074
503.803,0.003439373
504.011,0.003404989
504.218,0.003571018
504.425,0.003494351
504.633,0.003589632
504.84,0.003420632
505.048,0.003498486
505.255,0.003373563
505.462,0.003314184
505.67,0.003595399
505.877,0.003323121
506.084,0.003546126
506.292,0.003623046
506.499,0.003411114
506.706,0.003582696
506.913,0.003611754
507.121,0.003534119
507.328,0.003725543
507.535,0.003566759
507.742,0.003680899
507.949,0.003625937
508.157,0.003588522
508.364,0.003668516
508.571,0.003657347
508.778,0.003488675
508.985,0.003723364
509.192,0.003673114
509.399,0.003740222
509.607,0.003706414
509.814,0.003587668
510.021,0.003750548
510.228,0.003836228
510.435,0.003807638
510.642,0.003668683
510.849,0.003869523
511.056,0.003528722
511.263,0.003717226
511.47,0.00362066
511.677,0.003894659
511.884,0.003923206
512.091,0.00378519
512.298,0.003778225
512.505,0.003738657
512.711,0.003886563
512.918,0.004010391
513.125,0.00394062
513.332,0.003733867
513.539,0.004100725
513.746,0.003929719
513.953,0.004059576
514.159,0.00382488
514.366,0.003763134
514.573,0.003948612
514.78,0.003964365
514.986,0.003955568
515.193,0.00399352
515.4,0.003991316
515.607,0.003748635
515.813,0.00393422
516.02,0.004067748
516.227,0.003969369
516.433,0.003838638
516.64,0.003970574
516.847,0.003975802
517.053,0.004021585
517.26,0.004119561
517.467,0.00397329
517.673,0.004026624
517.88,0.003926603
518.086,0.004233934
518.293,0.003978721
518.499,0.00408024
518.706,0.00396813
518.912,0.004051265
519.119,0.004082903
519.325,0.003925555
519.532,0.004144716
519.738,0.004238541
519.945,0.004233364
520.151,0.004058706
520.358,0.004283904
520.564,0.004065758
520.771,0.004156427
520.977,0.004266216
521.183,0.004244471
521.39,0.004087709
521.596,0.004283117
521.802,0.004130257
522.009,0.004140581
522.215,0.004151376
522.421,0.004090579
522.628,0.004080839
522.834,0.00452765
523.04,0.003994273
523.246,0.004085524
523.453,0.004165725
523.659,0.004260311
523.865,0.004110242
524.071,0.004289577
524.277,0.004134868
524.484,0.004203592
524.69,0.004240624
524.896,0.00428785
525.102,0.004259905
525.308,0.004304217
525.514,0.004196749
525.72,0.004215281
525.926,0.004276915
526.132,0.004060376
526.338,0.004168008
526.544,0.004177159
526.75,0.004262762
526.957,0.004171644
527.163,0.00412739
527.368,0.004378463
527.574,0.00427509
527.78,0.004311327
527.986,0.004530976
528.192,0.004363985
528.398,0.004410188
528.604,0.004357818
528.81,0.004345163
